Player,Squad,League,Age,Min,Similarity,Quality,Succession_Score,Replacement_For,Recruitment_Verdict,Evidence_Confidence,Evidence_Band,Development_Profile,Development_Score,Evidence_Risk,Recruitment_Risk,Decision_Score,Risk_Penalty,Risk_Adjusted_Score,Decision_Tier,Succession_Coverage,Can_Replace,Strategic_Value,Recommendation_Rationale
Jordan Holsgrove,Estoril,Portuguese Primeira Liga,25.0,2830,60.7,61.8,61.1,Sandro Tonali,SCOUT FURTHER,94.33333333333334,HIGH,PRIME,50,0,LOW,65.5,0,65.5,SCOUT / VALIDATE,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; high evidence confidence; prime-age profile; low decision uncertainty
Max Ejdum,Odense,Danish Superliga,20.0,2046,58.1,65.4,61.0,Sandro Tonali,SCOUT FURTHER,68.2,GOOD,HIGH UPSIDE,100,10,MEDIUM,70.2,3,67.2,STRONG SHORTLIST,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; good evidence base; high development upside; moderate decision uncertainty
Kodai Sano,NEC Nijmegen,Eredivisie,21.0,3060,54.9,69.9,60.9,Sandro Tonali,SCOUT FURTHER,100.0,HIGH,DEVELOPMENT,90,0,LOW,74.5,0,74.5,PRIORITY TARGET,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; high evidence confidence; development runway; low decision uncertainty
Quinten Timber,Feyenoord,Eredivisie,24.0,1317,53.0,72.4,60.8,Sandro Tonali,SCOUT FURTHER,43.9,MODERATE,PRIME ENTRY,60,20,HIGH,57.3,7,50.3,WATCHLIST,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; further evidence required; entering prime years; high decision uncertainty
Michał Skóraś,Gent,Belgian Pro League,25.0,2503,53.5,70.9,60.5,Sandro Tonali,SCOUT FURTHER,83.43333333333334,HIGH,PRIME,50,0,LOW,63.0,0,63.0,SCOUT / VALIDATE,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; high evidence confidence; prime-age profile; low decision uncertainty
Angelo Stiller,Stuttgart,German Bundesliga,24.0,2743,69.6,46.4,60.3,Sandro Tonali,SCOUT FURTHER,91.43333333333334,HIGH,PRIME ENTRY,60,0,LOW,66.5,0,66.5,SCOUT / VALIDATE,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; high evidence confidence; entering prime years; low decision uncertainty
Patrick Wimmer,Wolfsburg,German Bundesliga,24.0,1621,54.8,68.5,60.3,Sandro Tonali,SCOUT FURTHER,54.03333333333333,MODERATE,PRIME ENTRY,60,20,HIGH,59.0,7,52.0,WATCHLIST,2,Bruno Guimaraes | Sandro Tonali,VERSATILE,moderate succession fit; further evidence required; entering prime years; high decision uncertainty; multi-successor versatility
Shunsuke Mito,Sparta R.,Eredivisie,22.0,1861,74.8,58.1,68.1,Anthony Gordon,STRONG OPTION,62.03333333333333,GOOD,DEVELOPMENT,80,10,MEDIUM,69.3,3,66.3,SCOUT / VALIDATE,1,Anthony Gordon,SINGLE ROLE,strong succession fit; good evidence base; development runway; moderate decision uncertainty
Daan Rots,Twente,Eredivisie,24.0,2359,71.6,62.7,68.1,Anthony Gordon,STRONG OPTION,78.63333333333333,GOOD,PRIME ENTRY,60,10,MEDIUM,68.6,3,65.6,SCOUT / VALIDATE,1,Anthony Gordon,SINGLE ROLE,strong succession fit; good evidence base; entering prime years; moderate decision uncertainty
Kristian Arnstad,AGF,Danish Superliga,21.0,2611,68.3,58.8,64.5,Anthony Gordon,SCOUT FURTHER,87.03333333333333,HIGH,DEVELOPMENT,90,0,LOW,74.1,0,74.1,PRIORITY TARGET,1,Anthony Gordon,SINGLE ROLE,credible succession fit; high evidence confidence; development runway; low decision uncertainty
Rafiki Said,Standard Liège,Belgian Pro League,25.0,2743,67.1,59.5,64.0,Anthony Gordon,SCOUT FURTHER,91.43333333333334,HIGH,PRIME,50,0,LOW,66.7,0,66.7,SCOUT / VALIDATE,1,Anthony Gordon,SINGLE ROLE,credible succession fit; high evidence confidence; prime-age profile; low decision uncertainty
Ramiz Harakaté,Grazer AK,Austrian Bundesliga,23.0,2394,65.9,60.4,63.7,Anthony Gordon,SCOUT FURTHER,79.80000000000001,GOOD,PRIME ENTRY,70,10,MEDIUM,68.2,3,65.2,SCOUT / VALIDATE,1,Anthony Gordon,SINGLE ROLE,credible succession fit; good evidence base; entering prime years; moderate decision uncertainty
Olti Hyseni,SønderjyskE,Danish Superliga,18.0,1655,60.8,67.1,63.4,Anthony Gordon,SCOUT FURTHER,55.166666666666664,MODERATE,HIGH UPSIDE,100,20,HIGH,69.1,7,62.1,SCOUT / VALIDATE,1,Anthony Gordon,SINGLE ROLE,credible succession fit; further evidence required; high development upside; high decision uncertainty
Tiago Tomás,Stuttgart,German Bundesliga,23.0,1020,51.0,80.4,62.8,Anthony Gordon,SCOUT FURTHER,34.0,LIMITED,PRIME ENTRY,70,30,HIGH,58.5,7,51.5,WATCHLIST,1,Anthony Gordon,SINGLE ROLE,credible succession fit; limited evidence; entering prime years; high decision uncertainty
Tobias Bech,AGF,Danish Superliga,23.0,2668,59.7,66.5,62.4,Anthony Gordon,SCOUT FURTHER,88.93333333333334,HIGH,PRIME ENTRY,70,0,LOW,69.2,0,69.2,STRONG SHORTLIST,1,Anthony Gordon,SINGLE ROLE,credible succession fit; high evidence confidence; entering prime years; low decision uncertainty
Moses Usor,LASK,Austrian Bundesliga,23.0,2259,48.5,82.7,62.2,Anthony Gordon,SCOUT FURTHER,75.3,GOOD,PRIME ENTRY,70,10,MEDIUM,66.4,3,63.4,SCOUT / VALIDATE,1,Anthony Gordon,SINGLE ROLE,credible succession fit; good evidence base; entering prime years; moderate decision uncertainty
Fabio Vieira,Hamburger SV,German Bundesliga,25.0,2206,64.3,58.5,62.0,Anthony Gordon,SCOUT FURTHER,73.53333333333333,GOOD,PRIME,50,10,MEDIUM,61.9,3,58.9,WATCHLIST,1,Anthony Gordon,SINGLE ROLE,credible succession fit; good evidence base; prime-age profile; moderate decision uncertainty
